Ime_automobila,Godiste,Prodajna_cena,Sadasnja_cena,Kilometraza,Tip_goriva,Tip_prodavca,Tip_prenosa,Broj_Vlasnika
Royal Enfield Classic 350,2013,1.1,1.47,33000,Benzin,Prodavac,Manuelni,0
Royal Enfield Thunder 500,2015,1.1,1.9,14000,Benzin,Prodavac,Manuelni,0
Royal Enfield Classic 350,2015,1.1,1.47,26000,Benzin,Prodavac,Manuelni,0
Royal Enfield Thunder 500,2013,1.05,1.9,5400,Benzin,Prodavac,Manuelni,0
Bajaj Pulsar RS200,2016,1.05,1.26,5700,Benzin,Prodavac,Manuelni,0
Royal Enfield Thunder 350,2011,1.05,1.5,6900,Benzin,Prodavac,Manuelni,0
Royal Enfield Bullet 350,2016,1.05,1.17,6000,Benzin,Prodavac,Manuelni,0
Royal Enfield Classic 350,2013,1,1.47,46500,Benzin,Prodavac,Manuelni,0
Royal Enfield Classic 500,2012,0.95,1.75,11500,Benzin,Prodavac,Manuelni,0
Royal Enfield Classic 500,2009,0.9,1.75,40000,Benzin,Prodavac,Manuelni,0
Bajaj Avenger 220,2017,0.9,0.95,1300,Benzin,Prodavac,Manuelni,0
Bajaj Avenger 150,2016,0.75,0.8,7000,Benzin,Prodavac,Manuelni,0
Honda CB Hornet 160R,2017,0.8,0.87,3000,Benzin,Prodavac,Manuelni,0
Yamaha FZ S V 2.0,2017,0.78,0.84,5000,Benzin,Prodavac,Manuelni,0
Honda CB Hornet 160R,2017,0.75,0.87,11000,Benzin,Prodavac,Manuelni,0
Yamaha FZ 16,2015,0.75,0.82,18000,Benzin,Prodavac,Manuelni,0
Bajaj Avenger 220,2017,0.75,0.95,3500,Benzin,Prodavac,Manuelni,0
Bajaj Avenger 220,2016,0.72,0.95,500,Benzin,Prodavac,Manuelni,0
TVS Apache RTR 160,2017,0.65,0.81,11800,Benzin,Prodavac,Manuelni,0
Bajaj Pulsar 150,2015,0.65,0.74,5000,Benzin,Prodavac,Manuelni,0
Honda CBR 150,2014,0.65,1.2,23500,Benzin,Prodavac,Manuelni,0
Hero Extreme,2013,0.65,0.787,16000,Benzin,Prodavac,Manuelni,0
Honda CB Hornet 160R,2016,0.6,0.87,15000,Benzin,Prodavac,Manuelni,0
Bajaj Avenger 220 dtsi,2015,0.6,0.95,16600,Benzin,Prodavac,Manuelni,0
Honda CBR 150,2013,0.6,1.2,32000,Benzin,Prodavac,Manuelni,0
Bajaj Avenger 150 street,2016,0.6,0.8,20000,Benzin,Prodavac,Manuelni,0
Yamaha FZ  v 2.0,2015,0.6,0.84,29000,Benzin,Prodavac,Manuelni,0
Yamaha FZ  v 2.0,2016,0.6,0.84,25000,Benzin,Prodavac,Manuelni,0
Bajaj Pulsar  NS 200,2014,0.6,0.99,25000,Benzin,Prodavac,Manuelni,0
TVS Apache RTR 160,2012,0.6,0.81,19000,Benzin,Prodavac,Manuelni,0
Hero Extreme,2014,0.55,0.787,15000,Benzin,Prodavac,Manuelni,0
Yamaha FZ S V 2.0,2015,0.55,0.84,58000,Benzin,Prodavac,Manuelni,0
Bajaj Pulsar 220 F,2010,0.52,0.94,45000,Benzin,Prodavac,Manuelni,0
Bajaj Pulsar 220 F,2016,0.51,0.94,24000,Benzin,Prodavac,Manuelni,0
TVS Apache RTR 180,2011,0.5,0.826,6000,Benzin,Prodavac,Manuelni,0
Hero Passion X pro,2016,0.5,0.55,31000,Benzin,Prodavac,Manuelni,0
Bajaj Pulsar NS 200,2012,0.5,0.99,13000,Benzin,Prodavac,Manuelni,0
Bajaj Pulsar NS 200,2013,0.5,0.99,45000,Benzin,Prodavac,Manuelni,0
Yamaha Fazer ,2014,0.5,0.88,8000,Benzin,Prodavac,Manuelni,0
Honda Activa 4G,2017,0.48,0.51,4300,Benzin,Prodavac,Automatik,0
TVS Sport ,2017,0.48,0.52,15000,Benzin,Prodavac,Manuelni,0
Yamaha FZ S V 2.0,2015,0.48,0.84,23000,Benzin,Prodavac,Manuelni,0
Honda Dream Yuga ,2017,0.48,0.54,8600,Benzin,Prodavac,Manuelni,0
Honda Activa 4G,2017,0.45,0.51,4000,Benzin,Prodavac,Automatik,0
Bajaj Avenger Street 220,2011,0.45,0.95,24000,Benzin,Prodavac,Manuelni,0
TVS Apache RTR 180,2014,0.45,0.826,23000,Benzin,Prodavac,Manuelni,0
Bajaj Pulsar NS 200,2012,0.45,0.99,14500,Benzin,Prodavac,Manuelni,0
Bajaj Avenger 220 dtsi,2010,0.45,0.95,27000,Benzin,Prodavac,Manuelni,0
Hero Splender iSmart,2016,0.45,0.54,14000,Benzin,Prodavac,Manuelni,0
Activa 3g,2016,0.45,0.54,500,Benzin,Prodavac,Automatik,0
Hero Passion Pro,2016,0.45,0.55,1000,Benzin,Prodavac,Manuelni,0
TVS Apache RTR 160,2014,0.42,0.81,42000,Benzin,Prodavac,Manuelni,0
Honda CB Trigger,2013,0.42,0.73,12000,Benzin,Prodavac,Manuelni,0
Hero Splender iSmart,2015,0.4,0.54,14000,Benzin,Prodavac,Manuelni,0
Yamaha FZ S ,2012,0.4,0.83,5500,Benzin,Prodavac,Manuelni,0
Hero Passion Pro,2015,0.4,0.55,6700,Benzin,Prodavac,Manuelni,0
Bajaj Pulsar 135 LS,2014,0.4,0.64,13700,Benzin,Prodavac,Manuelni,0
Activa 4g,2017,0.4,0.51,1300,Benzin,Prodavac,Automatik,0
Honda CB Unicorn,2015,0.38,0.72,38600,Benzin,Prodavac,Manuelni,0
Hero Honda CBZ extreme,2011,0.38,0.787,75000,Benzin,Prodavac,Manuelni,0
Honda Karizma,2011,0.35,1.05,30000,Benzin,Prodavac,Manuelni,0
Honda Activa 125,2016,0.35,0.57,24000,Benzin,Prodavac,Automatik,0
TVS Jupyter,2014,0.35,0.52,19000,Benzin,Prodavac,Automatik,0
Honda Karizma,2010,0.31,1.05,213000,Benzin,Prodavac,Manuelni,0
Hero Honda Passion Pro,2012,0.3,0.51,60000,Benzin,Prodavac,Manuelni,0
Hero Splender Plus,2016,0.3,0.48,50000,Benzin,Prodavac,Manuelni,0
Honda CB Shine,2013,0.3,0.58,30000,Benzin,Prodavac,Manuelni,0
Bajaj Discover 100,2013,0.27,0.47,21000,Benzin,Prodavac,Manuelni,0
Bajaj Pulsar 150,2008,0.25,0.75,26000,Benzin,Prodavac,Manuelni,1
Suzuki Access 125,2008,0.25,0.58,1900,Benzin,Prodavac,Automatik,0
TVS Wego,2010,0.25,0.52,22000,Benzin,Prodavac,Automatik,0
Honda CB twister,2013,0.25,0.51,32000,Benzin,Prodavac,Manuelni,0
Hero Glamour,2013,0.25,0.57,18000,Benzin,Prodavac,Manuelni,0
Hero Super Splendor,2005,0.2,0.57,55000,Benzin,Prodavac,Manuelni,0
Bajaj Pulsar 150,2008,0.2,0.75,60000,Benzin,Prodavac,Manuelni,0
Bajaj Discover 125,2012,0.2,0.57,25000,Benzin,Prodavac,Manuelni,1
Hero Hunk,2007,0.2,0.75,49000,Benzin,Prodavac,Manuelni,1
Hero  Ignitor Disc,2013,0.2,0.65,24000,Benzin,Prodavac,Manuelni,1
Hero  CBZ Xtreme,2008,0.2,0.787,50000,Benzin,Prodavac,Manuelni,0
Bajaj  ct 100,2015,0.18,0.32,35000,Benzin,Prodavac,Manuelni,0
Activa 3g,2008,0.17,0.52,500000,Benzin,Prodavac,Automatik,0
Honda CB twister,2010,0.16,0.51,33000,Benzin,Prodavac,Manuelni,0
Bajaj Discover 125,2011,0.15,0.57,35000,Benzin,Prodavac,Manuelni,1
Honda CB Shine,2007,0.12,0.58,53000,Benzin,Prodavac,Manuelni,0
Bajaj Pulsar 150,2006,0.1,0.75,92233,Benzin,Prodavac,Manuelni,0
i20,2010,3.25,6.79,58000,Dizel,AutoKuca,Manuelni,1
Grand i10,2015,4.4,5.7,28200,Benzin,AutoKuca,Manuelni,0
i10,2011,2.95,4.6,53460,Benzin,AutoKuca,Manuelni,0
Eon,2015,2.75,4.43,28282,Benzin,AutoKuca,Manuelni,0
Grand i10,2016,5.25,5.7,3493,Benzin,AutoKuca,Manuelni,1
Xcent,2017,5.75,7.13,12479,Benzin,AutoKuca,Manuelni,0
Grand i10,2015,5.15,5.7,34797,Benzin,AutoKuca,Automatik,0
i20,2017,7.9,8.1,3435,Benzin,AutoKuca,Manuelni,0
Grand i10,2015,4.85,5.7,21125,Dizel,AutoKuca,Manuelni,0
i10,2012,3.1,4.6,35775,Benzin,AutoKuca,Manuelni,0
Elantra,2015,11.75,14.79,43535,Dizel,AutoKuca,Manuelni,0
Creta,2016,11.25,13.6,22671,Benzin,AutoKuca,Manuelni,0
i20,2011,2.9,6.79,31604,Benzin,AutoKuca,Manuelni,0
Grand i10,2017,5.25,5.7,20114,Benzin,AutoKuca,Manuelni,0
Verna,2012,4.5,9.4,36100,Benzin,AutoKuca,Manuelni,0
Eon,2016,2.9,4.43,12500,Benzin,AutoKuca,Manuelni,0
Eon,2016,3.15,4.43,15000,Benzin,AutoKuca,Manuelni,0
Verna,2014,6.45,9.4,45078,Benzin,AutoKuca,Manuelni,0
Verna,2012,4.5,9.4,36000,Benzin,AutoKuca,Manuelni,0
Eon,2017,3.5,4.43,38488,Benzin,AutoKuca,Manuelni,0
i20,2013,4.5,6.79,32000,Benzin,AutoKuca,Automatik,0
i20,2014,6,7.6,77632,Dizel,AutoKuca,Manuelni,0
Verna,2015,8.25,9.4,61381,Dizel,AutoKuca,Manuelni,0
Verna,2013,5.11,9.4,36198,Benzin,AutoKuca,Automatik,0
i10,2011,2.7,4.6,22517,Benzin,AutoKuca,Manuelni,0
Grand i10,2015,5.25,5.7,24678,Benzin,AutoKuca,Manuelni,0
i10,2011,2.55,4.43,57000,Benzin,AutoKuca,Manuelni,0
Verna,2012,4.95,9.4,60000,Dizel,AutoKuca,Manuelni,0
i20,2012,3.1,6.79,52132,Dizel,AutoKuca,Manuelni,0
Verna,2013,6.15,9.4,45000,Dizel,AutoKuca,Manuelni,0
Verna,2017,9.25,9.4,15001,Benzin,AutoKuca,Manuelni,0
Elantra,2015,11.45,14.79,12900,Benzin,AutoKuca,Automatik,0
Grand i10,2013,3.9,5.7,53000,Dizel,AutoKuca,Manuelni,0
Grand i10,2015,5.5,5.7,4492,Benzin,AutoKuca,Manuelni,0
Verna,2017,9.1,9.4,15141,Benzin,AutoKuca,Manuelni,0
Eon,2016,3.1,4.43,11849,Benzin,AutoKuca,Manuelni,0
Creta,2015,11.25,13.6,68000,Dizel,AutoKuca,Manuelni,0
Verna,2013,4.8,9.4,60241,Benzin,AutoKuca,Manuelni,0
Eon,2012,2,4.43,23709,Benzin,AutoKuca,Manuelni,0
Verna,2012,5.35,9.4,32322,Dizel,AutoKuca,Manuelni,0
Xcent,2015,4.75,7.13,35866,Benzin,AutoKuca,Manuelni,1
Xcent,2014,4.4,7.13,34000,Benzin,AutoKuca,Manuelni,0
i20,2016,6.25,7.6,7000,Benzin,AutoKuca,Manuelni,0
Verna,2013,5.95,9.4,49000,Dizel,AutoKuca,Manuelni,0
Verna,2012,5.2,9.4,71000,Dizel,AutoKuca,Manuelni,0
i20,2012,3.75,6.79,35000,Benzin,AutoKuca,Manuelni,0
Verna,2015,5.95,9.4,36000,Benzin,AutoKuca,Manuelni,0
i10,2013,4,4.6,30000,Benzin,AutoKuca,Manuelni,0
i20,2016,5.25,7.6,17000,Benzin,AutoKuca,Manuelni,0
Creta,2016,12.9,13.6,35934,Dizel,AutoKuca,Manuelni,0
City,2013,5,9.9,56701,Benzin,AutoKuca,Manuelni,0
Brio,2015,5.4,6.82,31427,Benzin,AutoKuca,Automatik,0
City,2014,7.2,9.9,48000,Dizel,AutoKuca,Manuelni,0
City,2013,5.25,9.9,54242,Benzin,AutoKuca,Manuelni,0
Brio,2012,3,5.35,53675,Benzin,AutoKuca,Manuelni,0
City,2016,10.25,13.6,49562,Benzin,AutoKuca,Manuelni,0
City,2015,8.5,13.6,40324,Benzin,AutoKuca,Manuelni,0
City,2015,8.4,13.6,25000,Benzin,AutoKuca,Manuelni,0
Amaze,2014,3.9,7,36054,Benzin,AutoKuca,Manuelni,0
City,2016,9.15,13.6,29223,Benzin,AutoKuca,Manuelni,0
Brio,2016,5.5,5.97,5600,Benzin,AutoKuca,Manuelni,0
Amaze,2015,4,5.8,40023,Benzin,AutoKuca,Manuelni,0
Jazz,2016,6.6,7.7,16002,Benzin,AutoKuca,Manuelni,0
Amaze,2015,4,7,40026,Benzin,AutoKuca,Manuelni,0
Jazz,2017,6.5,8.7,21200,Benzin,AutoKuca,Manuelni,0
Amaze,2014,3.65,7,35000,Benzin,AutoKuca,Manuelni,0
City,2016,8.35,9.4,19434,Dizel,AutoKuca,Manuelni,0
Brio,2017,4.8,5.8,19000,Benzin,AutoKuca,Manuelni,0
City,2015,6.7,10,18828,Benzin,AutoKuca,Manuelni,0
City,2011,4.1,10,69341,Benzin,AutoKuca,Manuelni,0
City,2009,3,10,69562,Benzin,AutoKuca,Manuelni,0
City,2015,7.5,10,27600,Benzin,AutoKuca,Manuelni,0
Jazz,2010,2.25,7.5,61203,Benzin,AutoKuca,Manuelni,0
Brio,2014,5.3,6.8,16500,Benzin,AutoKuca,Manuelni,0
City,2016,10.9,13.6,30753,Benzin,AutoKuca,Automatik,0
City,2015,8.65,13.6,24800,Benzin,AutoKuca,Manuelni,0
City,2015,9.7,13.6,21780,Benzin,AutoKuca,Manuelni,0
Jazz,2016,6,8.4,4000,Benzin,AutoKuca,Manuelni,0
City,2014,6.25,13.6,40126,Benzin,AutoKuca,Manuelni,0
Brio,2015,5.25,5.9,14465,Benzin,AutoKuca,Manuelni,0
City,2006,2.1,7.6,50456,Benzin,AutoKuca,Manuelni,0
City,2014,8.25,14,63000,Dizel,AutoKuca,Manuelni,0
City,2016,8.99,11.8,9010,Benzin,AutoKuca,Manuelni,0
Brio,2013,3.5,5.9,9800,Benzin,AutoKuca,Manuelni,0
Jazz,2016,7.4,8.5,15059,Benzin,AutoKuca,Automatik,0
Jazz,2016,5.65,7.9,28569,Benzin,AutoKuca,Manuelni,0
Amaze,2015,5.75,7.5,44000,Benzin,AutoKuca,Automatik,0
City,2015,8.4,13.6,34000,Benzin,AutoKuca,Manuelni,0
City,2016,10.11,13.6,10980,Benzin,AutoKuca,Manuelni,0
Amaze,2014,4.5,6.4,19000,Benzin,AutoKuca,Manuelni,0
Brio,2015,5.4,6.1,31427,Benzin,AutoKuca,Manuelni,0
Jazz,2016,6.4,8.4,12000,Benzin,AutoKuca,Manuelni,0
City,2010,3.25,9.9,38000,Benzin,AutoKuca,Manuelni,0
Amaze,2014,3.75,6.8,33019,Benzin,AutoKuca,Manuelni,0
City,2015,8.55,13.09,60076,Dizel,AutoKuca,Manuelni,0
City,2016,9.5,11.6,33988,Dizel,AutoKuca,Manuelni,0
Brio,2015,4,5.9,60000,Benzin,AutoKuca,Manuelni,0
City,2009,3.35,11,87934,Benzin,AutoKuca,Manuelni,0
City,2017,11.5,12.5,9000,Dizel,AutoKuca,Manuelni,0
Brio,2016,5.3,5.9,5464,Benzin,AutoKuca,Manuelni,0
