Ime_automobila,Godiste,Prodajna_cena,Sadasnja_cena,Kilometraza,Tip_goriva,Tip_prodavca,Tip_prenosa,Broj_Vlasnika
Etios Liva,2011,3180,6852,43000,Benzin,AutoKuca,Manuelni,0
Etios Cross,2014,5880,10716,83000,Dizel,AutoKuca,Manuelni,0
Etios G,2015,4740,8160,36000,Benzin,AutoKuca,Manuelni,0
Corolla Altis,2013,6600,17616,72000,Benzin,AutoKuca,Manuelni,0
Corolla,2004,1800,14820,135154,Benzin,AutoKuca,Automatik,0
Corolla Altis,2010,6300,27396,80000,Benzin,AutoKuca,Automatik,0
Fortuner,2012,17400,36732,89000,Dizel,AutoKuca,Automatik,0
Corolla Altis,2016,17676,17868,23000,Dizel,AutoKuca,Manuelni,0
Etios Gd,2015,5700,9420,40000,Dizel,AutoKuca,Manuelni,0
Innova,2017,27600,30468,15000,Dizel,AutoKuca,Automatik,0
Innova,2015,15000,16152,38000,Dizel,AutoKuca,Manuelni,0
Innova,2005,4188,16152,197176,Dizel,AutoKuca,Manuelni,0
Camry,2006,3000,28476,142000,Benzin,Prodavac,Automatik,3
Land Cruiser,2010,42000,111120,78000,Dizel,AutoKuca,Manuelni,0
Corolla Altis,2012,7080,16488,56000,Benzin,AutoKuca,Manuelni,0
Etios Liva,2013,4140,7260,47000,Benzin,AutoKuca,Manuelni,0
Etios G,2014,5700,8112,40000,Benzin,AutoKuca,Manuelni,0
Corolla Altis,2009,4560,22332,62000,Benzin,AutoKuca,Manuelni,0
Innova,2014,13500,19308,58242,Dizel,AutoKuca,Manuelni,0
Innova,2005,4212,16440,75000,Benzin,AutoKuca,Manuelni,0
Fortuner,2015,27600,36732,40000,Dizel,AutoKuca,Automatik,0
Corolla Altis,2008,4800,27336,89000,Benzin,AutoKuca,Automatik,0
Corolla Altis,2012,7020,22332,72000,Benzin,AutoKuca,Manuelni,0
Innova,2016,24900,30468,29000,Dizel,AutoKuca,Automatik,0
Corolla Altis,2017,20400,22368,8700,Benzin,AutoKuca,Manuelni,0
Corolla Altis,2013,8460,22332,45000,Benzin,AutoKuca,Manuelni,0
Fortuner,2010,11580,24540,50024,Dizel,AutoKuca,Manuelni,0
Royal Enfield Thunder 500,2016,2100,2280,3000,Benzin,Prodavac,Manuelni,0
UM Renegade Mojave,2017,2040,2184,1400,Benzin,Prodavac,Manuelni,0
KTM RC200,2017,1980,2136,4000,Benzin,Prodavac,Manuelni,0
Bajaj Dominar 400,2017,1740,1920,1200,Benzin,Prodavac,Manuelni,0
Royal Enfield Classic 350,2017,1620,1764,4100,Benzin,Prodavac,Manuelni,0
KTM RC390,2015,1620,2844,21700,Benzin,Prodavac,Manuelni,0
Hyosung GT250R,2014,1620,4140,16500,Benzin,Prodavac,Manuelni,1
Royal Enfield Thunder 350,2013,1500,1800,15000,Benzin,Prodavac,Manuelni,0
Royal Enfield Thunder 350,2016,1440,1800,18000,Benzin,Prodavac,Manuelni,0
Royal Enfield Classic 350,2017,1440,1764,11000,Benzin,Prodavac,Manuelni,0
KTM RC200,2016,1440,2136,6000,Benzin,Prodavac,Manuelni,0
Royal Enfield Thunder 350,2016,1380,1800,8700,Benzin,Prodavac,Manuelni,0
KTM 390 Duke ,2014,1380,2880,7000,Benzin,Prodavac,Manuelni,0
Mahindra Mojo XT300,2016,1380,1680,35000,Benzin,Prodavac,Manuelni,0
Royal Enfield Classic 350,2015,1380,1764,17000,Benzin,Prodavac,Manuelni,0
Royal Enfield Classic 350,2015,1332,1764,17500,Benzin,Prodavac,Manuelni,0
Royal Enfield Classic 350,2013,1320,1764,33000,Benzin,Prodavac,Manuelni,0
Royal Enfield Thunder 500,2015,1320,2280,14000,Benzin,Prodavac,Manuelni,0
Royal Enfield Classic 350,2015,1320,1764,26000,Benzin,Prodavac,Manuelni,0
Royal Enfield Thunder 500,2013,1260,2280,5400,Benzin,Prodavac,Manuelni,0
Bajaj Pulsar RS200,2016,1260,1512,5700,Benzin,Prodavac,Manuelni,0
Royal Enfield Thunder 350,2011,1260,1800,6900,Benzin,Prodavac,Manuelni,0
Royal Enfield Bullet 350,2016,1260,1404,6000,Benzin,Prodavac,Manuelni,0
Royal Enfield Classic 350,2013,1200,1764,46500,Benzin,Prodavac,Manuelni,0
Royal Enfield Classic 500,2012,1140,2100,11500,Benzin,Prodavac,Manuelni,0
Royal Enfield Classic 500,2009,1080,2100,40000,Benzin,Prodavac,Manuelni,0
Bajaj Avenger 220,2017,1080,1140,1300,Benzin,Prodavac,Manuelni,0
Bajaj Avenger 150,2016,900,960,7000,Benzin,Prodavac,Manuelni,0
Honda CB Hornet 160R,2017,960,1044,3000,Benzin,Prodavac,Manuelni,0
Yamaha FZ S V 2.0,2017,936,1008,5000,Benzin,Prodavac,Manuelni,0
Honda CB Hornet 160R,2017,900,1044,11000,Benzin,Prodavac,Manuelni,0
Yamaha FZ 16,2015,900,984,18000,Benzin,Prodavac,Manuelni,0
Bajaj Avenger 220,2017,900,1140,3500,Benzin,Prodavac,Manuelni,0
Bajaj Avenger 220,2016,864,1140,500,Benzin,Prodavac,Manuelni,0
TVS Apache RTR 160,2017,780,972,11800,Benzin,Prodavac,Manuelni,0
Bajaj Pulsar 150,2015,780,888,5000,Benzin,Prodavac,Manuelni,0
Honda CBR 150,2014,780,1440,23500,Benzin,Prodavac,Manuelni,0
Hero Extreme,2013,780,944.4,16000,Benzin,Prodavac,Manuelni,0
Honda CB Hornet 160R,2016,720,1044,15000,Benzin,Prodavac,Manuelni,0
Bajaj Avenger 220 dtsi,2015,720,1140,16600,Benzin,Prodavac,Manuelni,0
Honda CBR 150,2013,720,1440,32000,Benzin,Prodavac,Manuelni,0
Bajaj Avenger 150 street,2016,720,960,20000,Benzin,Prodavac,Manuelni,0
Yamaha FZ  v 2.0,2015,720,1008,29000,Benzin,Prodavac,Manuelni,0
Yamaha FZ  v 2.0,2016,720,1008,25000,Benzin,Prodavac,Manuelni,0
Bajaj Pulsar  NS 200,2014,720,1188,25000,Benzin,Prodavac,Manuelni,0
TVS Apache RTR 160,2012,720,972,19000,Benzin,Prodavac,Manuelni,0
Hero Extreme,2014,660,944.4,15000,Benzin,Prodavac,Manuelni,0
Yamaha FZ S V 2.0,2015,660,1008,58000,Benzin,Prodavac,Manuelni,0
Bajaj Pulsar 220 F,2010,624,1128,45000,Benzin,Prodavac,Manuelni,0
Bajaj Pulsar 220 F,2016,612,1128,24000,Benzin,Prodavac,Manuelni,0
TVS Apache RTR 180,2011,600,991.2,6000,Benzin,Prodavac,Manuelni,0
Hero Passion X pro,2016,600,660,31000,Benzin,Prodavac,Manuelni,0
Bajaj Pulsar NS 200,2012,600,1188,13000,Benzin,Prodavac,Manuelni,0
Bajaj Pulsar NS 200,2013,600,1188,45000,Benzin,Prodavac,Manuelni,0
Yamaha Fazer ,2014,600,1056,8000,Benzin,Prodavac,Manuelni,0
Honda Activa 4G,2017,576,612,4300,Benzin,Prodavac,Automatik,0
TVS Sport ,2017,576,624,15000,Benzin,Prodavac,Manuelni,0
Yamaha FZ S V 2.0,2015,576,1008,23000,Benzin,Prodavac,Manuelni,0
Honda Dream Yuga ,2017,576,648,8600,Benzin,Prodavac,Manuelni,0
Honda Activa 4G,2017,540,612,4000,Benzin,Prodavac,Automatik,0
Bajaj Avenger Street 220,2011,540,1140,24000,Benzin,Prodavac,Manuelni,0
TVS Apache RTR 180,2014,540,991.2,23000,Benzin,Prodavac,Manuelni,0
Bajaj Pulsar NS 200,2012,540,1188,14500,Benzin,Prodavac,Manuelni,0
Bajaj Avenger 220 dtsi,2010,540,1140,27000,Benzin,Prodavac,Manuelni,0
Hero Splender iSmart,2016,540,648,14000,Benzin,Prodavac,Manuelni,0
Activa 3g,2016,540,648,500,Benzin,Prodavac,Automatik,0
Hero Passion Pro,2016,540,660,1000,Benzin,Prodavac,Manuelni,0
TVS Apache RTR 160,2014,504,972,42000,Benzin,Prodavac,Manuelni,0
Honda CB Trigger,2013,504,876,12000,Benzin,Prodavac,Manuelni,0
Hero Splender iSmart,2015,480,648,14000,Benzin,Prodavac,Manuelni,0
Yamaha FZ S ,2012,480,996,5500,Benzin,Prodavac,Manuelni,0
Hero Passion Pro,2015,480,660,6700,Benzin,Prodavac,Manuelni,0
Bajaj Pulsar 135 LS,2014,480,768,13700,Benzin,Prodavac,Manuelni,0
Activa 4g,2017,480,612,1300,Benzin,Prodavac,Automatik,0
Honda CB Unicorn,2015,456,864,38600,Benzin,Prodavac,Manuelni,0
Hero Honda CBZ extreme,2011,456,944.4,75000,Benzin,Prodavac,Manuelni,0
Honda Karizma,2011,420,1260,30000,Benzin,Prodavac,Manuelni,0
Honda Activa 125,2016,420,684,24000,Benzin,Prodavac,Automatik,0
TVS Jupyter,2014,420,624,19000,Benzin,Prodavac,Automatik,0
Honda Karizma,2010,372,1260,213000,Benzin,Prodavac,Manuelni,0
Hero Honda Passion Pro,2012,360,612,60000,Benzin,Prodavac,Manuelni,0
Hero Splender Plus,2016,360,576,50000,Benzin,Prodavac,Manuelni,0
Honda CB Shine,2013,360,696,30000,Benzin,Prodavac,Manuelni,0
Bajaj Discover 100,2013,324,564,21000,Benzin,Prodavac,Manuelni,0
Bajaj Pulsar 150,2008,300,900,26000,Benzin,Prodavac,Manuelni,1
Suzuki Access 125,2008,300,696,1900,Benzin,Prodavac,Automatik,0
TVS Wego,2010,300,624,22000,Benzin,Prodavac,Automatik,0
Honda CB twister,2013,300,612,32000,Benzin,Prodavac,Manuelni,0
Hero Glamour,2013,300,684,18000,Benzin,Prodavac,Manuelni,0
Hero Super Splendor,2005,240,684,55000,Benzin,Prodavac,Manuelni,0
Bajaj Pulsar 150,2008,240,900,60000,Benzin,Prodavac,Manuelni,0
Bajaj Discover 125,2012,240,684,25000,Benzin,Prodavac,Manuelni,1
Hero Hunk,2007,240,900,49000,Benzin,Prodavac,Manuelni,1
Hero  Ignitor Disc,2013,240,780,24000,Benzin,Prodavac,Manuelni,1
Hero  CBZ Xtreme,2008,240,944.4,50000,Benzin,Prodavac,Manuelni,0
Bajaj  ct 100,2015,216,384,35000,Benzin,Prodavac,Manuelni,0
Activa 3g,2008,204,624,500000,Benzin,Prodavac,Automatik,0
Honda CB twister,2010,192,612,33000,Benzin,Prodavac,Manuelni,0
Bajaj Discover 125,2011,180,684,35000,Benzin,Prodavac,Manuelni,1
Honda CB Shine,2007,144,696,53000,Benzin,Prodavac,Manuelni,0
Bajaj Pulsar 150,2006,120,900,92233,Benzin,Prodavac,Manuelni,0
i20,2010,3900,8148,58000,Dizel,AutoKuca,Manuelni,1
Grand i10,2015,5280,6840,28200,Benzin,AutoKuca,Manuelni,0
i10,2011,3540,5520,53460,Benzin,AutoKuca,Manuelni,0
Eon,2015,3300,5316,28282,Benzin,AutoKuca,Manuelni,0
Grand i10,2016,6300,6840,3493,Benzin,AutoKuca,Manuelni,1
Xcent,2017,6900,8556,12479,Benzin,AutoKuca,Manuelni,0
Grand i10,2015,6180,6840,34797,Benzin,AutoKuca,Automatik,0
i20,2017,9480,9720,3435,Benzin,AutoKuca,Manuelni,0
Grand i10,2015,5820,6840,21125,Dizel,AutoKuca,Manuelni,0
i10,2012,3720,5520,35775,Benzin,AutoKuca,Manuelni,0
Elantra,2015,14100,17748,43535,Dizel,AutoKuca,Manuelni,0
Creta,2016,13500,16320,22671,Benzin,AutoKuca,Manuelni,0
i20,2011,3480,8148,31604,Benzin,AutoKuca,Manuelni,0
Grand i10,2017,6300,6840,20114,Benzin,AutoKuca,Manuelni,0
Verna,2012,5400,11280,36100,Benzin,AutoKuca,Manuelni,0
Eon,2016,3480,5316,12500,Benzin,AutoKuca,Manuelni,0
Eon,2016,3780,5316,15000,Benzin,AutoKuca,Manuelni,0
Verna,2014,7740,11280,45078,Benzin,AutoKuca,Manuelni,0
Verna,2012,5400,11280,36000,Benzin,AutoKuca,Manuelni,0
Eon,2017,4200,5316,38488,Benzin,AutoKuca,Manuelni,0
i20,2013,5400,8148,32000,Benzin,AutoKuca,Automatik,0
i20,2014,7200,9120,77632,Dizel,AutoKuca,Manuelni,0
Verna,2015,9900,11280,61381,Dizel,AutoKuca,Manuelni,0
Verna,2013,6132,11280,36198,Benzin,AutoKuca,Automatik,0
i10,2011,3240,5520,22517,Benzin,AutoKuca,Manuelni,0
Grand i10,2015,6300,6840,24678,Benzin,AutoKuca,Manuelni,0
i10,2011,3060,5316,57000,Benzin,AutoKuca,Manuelni,0
Verna,2012,5940,11280,60000,Dizel,AutoKuca,Manuelni,0
i20,2012,3720,8148,52132,Dizel,AutoKuca,Manuelni,0
Verna,2013,7380,11280,45000,Dizel,AutoKuca,Manuelni,0
Verna,2017,11100,11280,15001,Benzin,AutoKuca,Manuelni,0
Elantra,2015,13740,17748,12900,Benzin,AutoKuca,Automatik,0
Grand i10,2013,4680,6840,53000,Dizel,AutoKuca,Manuelni,0
Grand i10,2015,6600,6840,4492,Benzin,AutoKuca,Manuelni,0
Verna,2017,10920,11280,15141,Benzin,AutoKuca,Manuelni,0
Eon,2016,3720,5316,11849,Benzin,AutoKuca,Manuelni,0
Creta,2015,13500,16320,68000,Dizel,AutoKuca,Manuelni,0
Verna,2013,5760,11280,60241,Benzin,AutoKuca,Manuelni,0
Eon,2012,2400,5316,23709,Benzin,AutoKuca,Manuelni,0
Verna,2012,6420,11280,32322,Dizel,AutoKuca,Manuelni,0
Xcent,2015,5700,8556,35866,Benzin,AutoKuca,Manuelni,1
Xcent,2014,5280,8556,34000,Benzin,AutoKuca,Manuelni,0
i20,2016,7500,9120,7000,Benzin,AutoKuca,Manuelni,0
Verna,2013,7140,11280,49000,Dizel,AutoKuca,Manuelni,0
Verna,2012,6240,11280,71000,Dizel,AutoKuca,Manuelni,0
i20,2012,4500,8148,35000,Benzin,AutoKuca,Manuelni,0
Verna,2015,7140,11280,36000,Benzin,AutoKuca,Manuelni,0
i10,2013,4800,5520,30000,Benzin,AutoKuca,Manuelni,0
i20,2016,6300,9120,17000,Benzin,AutoKuca,Manuelni,0
Creta,2016,15480,16320,35934,Dizel,AutoKuca,Manuelni,0
City,2013,6000,11880,56701,Benzin,AutoKuca,Manuelni,0
Brio,2015,6480,8184,31427,Benzin,AutoKuca,Automatik,0
City,2014,8640,11880,48000,Dizel,AutoKuca,Manuelni,0
City,2013,6300,11880,54242,Benzin,AutoKuca,Manuelni,0
Brio,2012,3600,6420,53675,Benzin,AutoKuca,Manuelni,0
City,2016,12300,16320,49562,Benzin,AutoKuca,Manuelni,0
City,2015,10200,16320,40324,Benzin,AutoKuca,Manuelni,0
City,2015,10080,16320,25000,Benzin,AutoKuca,Manuelni,0
Amaze,2014,4680,8400,36054,Benzin,AutoKuca,Manuelni,0
City,2016,10980,16320,29223,Benzin,AutoKuca,Manuelni,0
Brio,2016,6600,7164,5600,Benzin,AutoKuca,Manuelni,0
Amaze,2015,4800,6960,40023,Benzin,AutoKuca,Manuelni,0
Jazz,2016,7920,9240,16002,Benzin,AutoKuca,Manuelni,0
Amaze,2015,4800,8400,40026,Benzin,AutoKuca,Manuelni,0
Jazz,2017,7800,10440,21200,Benzin,AutoKuca,Manuelni,0
Amaze,2014,4380,8400,35000,Benzin,AutoKuca,Manuelni,0
City,2016,10020,11280,19434,Dizel,AutoKuca,Manuelni,0
Brio,2017,5760,6960,19000,Benzin,AutoKuca,Manuelni,0
City,2015,8040,12000,18828,Benzin,AutoKuca,Manuelni,0
City,2011,4920,12000,69341,Benzin,AutoKuca,Manuelni,0
City,2009,3600,12000,69562,Benzin,AutoKuca,Manuelni,0
City,2015,9000,12000,27600,Benzin,AutoKuca,Manuelni,0
Jazz,2010,2700,9000,61203,Benzin,AutoKuca,Manuelni,0
Brio,2014,6360,8160,16500,Benzin,AutoKuca,Manuelni,0
City,2016,13080,16320,30753,Benzin,AutoKuca,Automatik,0
City,2015,10380,16320,24800,Benzin,AutoKuca,Manuelni,0
City,2015,11640,16320,21780,Benzin,AutoKuca,Manuelni,0
Jazz,2016,7200,10080,4000,Benzin,AutoKuca,Manuelni,0
City,2014,7500,16320,40126,Benzin,AutoKuca,Manuelni,0
Brio,2015,6300,7080,14465,Benzin,AutoKuca,Manuelni,0
City,2006,2520,9120,50456,Benzin,AutoKuca,Manuelni,0
City,2014,9900,16800,63000,Dizel,AutoKuca,Manuelni,0
City,2016,10788,14160,9010,Benzin,AutoKuca,Manuelni,0
Brio,2013,4200,7080,9800,Benzin,AutoKuca,Manuelni,0
Jazz,2016,8880,10200,15059,Benzin,AutoKuca,Automatik,0
Jazz,2016,6780,9480,28569,Benzin,AutoKuca,Manuelni,0
Amaze,2015,6900,9000,44000,Benzin,AutoKuca,Automatik,0
City,2015,10080,16320,34000,Benzin,AutoKuca,Manuelni,0
City,2016,12132,16320,10980,Benzin,AutoKuca,Manuelni,0
Amaze,2014,5400,7680,19000,Benzin,AutoKuca,Manuelni,0
Brio,2015,6480,7320,31427,Benzin,AutoKuca,Manuelni,0
Jazz,2016,7680,10080,12000,Benzin,AutoKuca,Manuelni,0
City,2010,3900,11880,38000,Benzin,AutoKuca,Manuelni,0
Amaze,2014,4500,8160,33019,Benzin,AutoKuca,Manuelni,0
City,2015,10260,15708,60076,Dizel,AutoKuca,Manuelni,0
City,2016,11400,13920,33988,Dizel,AutoKuca,Manuelni,0
Brio,2015,4800,7080,60000,Benzin,AutoKuca,Manuelni,0
City,2009,4020,13200,87934,Benzin,AutoKuca,Manuelni,0
City,2017,13800,15000,9000,Dizel,AutoKuca,Manuelni,0
Brio,2016,6360,7080,5464,Benzin,AutoKuca,Manuelni,0
